Date,Day,Time,Precipitation,Cloud_cover,Temperature,Wind_speed,Wind_direction,G_brumalis,E_ephemerae,M_subnitens
2019.11.13,1,afternoon,no,medium,6,17,S,yes,yes,no
2019.11.14,2,,,,,,,,,
2019.11.15,3,morning,no,high,6,21,N,yes,no,no
2019.11.20,8,,,,,,,,,
2019.11.21,9,midday,no,high,5,24,E,yes,no,no
2019.11.22,10,morning,yes,high,6,17,SE,yes,no,no
2019.11.27,15,afternoon,no,low,9,17,W,no,no,no
2019.11.28,16,midday,no,zero,8,14,W,yes,no,no
2019.11.29,17,morning,no,zero,5,13,NE,no,no,no
2019.12.04,22,afternoon,no,zero,4,4,N,yes,yes,yes
2019.12.05,23,midday,no,zero,7,13,SW,yes,no,no
2019.12.06,24,,,,,,,,,
2019.12.11,29,afternoon,yes,high,3,17,W,no,no,no
2019.12.12,30,,,,,,,,,
2019.12.13,31,,,,,,,,,
2019.12.18,36,afternoon,no,high,8,32,SE,no,no,no
2019.12.19,37,midday,yes,high,10,22,S,no,no,no
2019.12.20,38,morning,yes,high,7,14,W,no,no,no
2019.12.25,43,,,,,,,,,
2019.12.26,44,,,,,,,,,
2019.12.27,45,,,,,,,,,
2020.01.01,50,afternoon,no,high,7,10,SE,no,no,no
2020.01.02,51,midday,no,high,9,20,S,yes,no,no
2020.01.03,52,morning,no,medium,6,19,NW,no,no,yes
2020.01.08,57,afternoon,no,high,8,6,SW,no,no,yes
2020.01.09,58,midday,no,high,8,23,W,no,no,no
2020.01.10,59,morning,no,high,6,14,W,no,no,no
2020.01.15,64,afternoon,no,low,9,23,SW,no,no,no
2020.01.16,65,midday,yes,high,10,30,S,no,no,no
2020.01.17,66,morning,no,medium,4,25,W,no,no,no
2020.01.22,71,afternoon,no,high,7,13,NE,no,no,yes
2020.01.23,72,midday,no,high,6,9,E,no,no,no
2020.01.24,73,morning,no,high,6,8,NE,no,no,no
